presenter,chair1,chair2,title,presenter_gender,chair1_gender,chair2_gender
Lili Ge,Chris Finlay (DTU Space),Ilias Daras (ESA/ESTEC),A.10.03 Our solid Earth: from core to surface - PART 2,female,mostly_male,male
Sebastian Cruz Bacca,Chris Finlay (DTU Space),Ilias Daras (ESA/ESTEC),A.10.03 Our solid Earth: from core to surface - PART 2,male,mostly_male,male
Andy Hooper,Chris Finlay (DTU Space),Ilias Daras (ESA/ESTEC),A.10.03 Our solid Earth: from core to surface - PART 2,male,mostly_male,male
Tim Heijmann,Zoltan Bartalis (European Space Agency),zaynab guerraou (European Space Agency),B.03.08 Earth Observation in support of the energy transition - PART 1,male,unknown,unknown
Helga Weber,Zoltan Bartalis (European Space Agency),zaynab guerraou (European Space Agency),B.03.08 Earth Observation in support of the energy transition - PART 1,female,unknown,unknown
Angela Meyer,Zoltan Bartalis (European Space Agency),zaynab guerraou (European Space Agency),B.03.08 Earth Observation in support of the energy transition - PART 1,female,unknown,unknown
Quentin Paletta,Zoltan Bartalis (European Space Agency),zaynab guerraou (European Space Agency),B.03.08 Earth Observation in support of the energy transition - PART 1,male,unknown,unknown
Sonia Ponce de León,Zoltan Bartalis (European Space Agency),zaynab guerraou (European Space Agency),B.03.08 Earth Observation in support of the energy transition - PART 1,female,unknown,unknown
Annekatrin Metz-Marconcini,zaynab guerraou (European Space Agency),Quentin Paletta (European Space Agency),B.03.08 Earth Observation in support of the energy transition - PART 2,female,unknown,male
Enora Lecordier,zaynab guerraou (European Space Agency),Quentin Paletta (European Space Agency),B.03.08 Earth Observation in support of the energy transition - PART 2,female,unknown,male
Filippo Vecchiotti,zaynab guerraou (European Space Agency),Quentin Paletta (European Space Agency),B.03.08 Earth Observation in support of the energy transition - PART 2,male,unknown,male
Georgia Karadimou,zaynab guerraou (European Space Agency),Quentin Paletta (European Space Agency),B.03.08 Earth Observation in support of the energy transition - PART 2,female,unknown,male
Aleksandra Kaczmarek,zaynab guerraou (European Space Agency),Quentin Paletta (European Space Agency),B.03.08 Earth Observation in support of the energy transition - PART 2,female,unknown,male
Rui Song,zaynab guerraou (European Space Agency),Quentin Paletta (European Space Agency),B.03.08 Earth Observation in support of the energy transition - PART 2,male,unknown,male
